rec_id,cluster_id
rec-0-org,1
rec-1000-dup-0,2
rec-1000-dup-1,2
rec-1000-org,2
rec-1001-dup-0,3
rec-1001-org,3
rec-1002-dup-0,4
rec-1002-org,4
rec-1003-org,5
rec-1004-dup-0,6
rec-1004-dup-1,6
rec-1004-dup-2,6
rec-1004-org,6
rec-1005-org,7
rec-1006-dup-0,8
rec-1006-dup-1,8
rec-1006-dup-2,8
rec-1006-org,8
rec-1007-dup-0,9
rec-1007-dup-1,9
rec-1007-dup-2,9
rec-1007-dup-3,9
rec-1007-org,9
rec-1008-org,10
rec-1009-dup-0,11
rec-1009-dup-1,11
rec-1009-dup-2,11
rec-1009-org,11
rec-100-dup-0,12
rec-100-dup-1,12
rec-100-dup-2,12
rec-100-dup-3,12
rec-100-dup-4,12
rec-100-org,12
rec-1010-org,13
rec-1011-dup-0,14
rec-1011-dup-1,14
rec-1011-dup-2,14
rec-1011-org,14
rec-1012-dup-0,15
rec-1012-dup-1,15
rec-1012-dup-2,15
rec-1012-org,15
rec-1013-org,16
rec-1014-dup-0,17
rec-1014-dup-1,17
rec-1014-dup-2,17
rec-1014-org,17
rec-1015-org,18
rec-1016-org,19
rec-1017-dup-0,20
rec-1017-org,20
rec-1018-org,21
rec-1019-org,22
rec-101-org,23
rec-1020-org,24
rec-1021-dup-0,25
rec-1021-org,25
rec-1022-dup-0,26
rec-1022-dup-1,26
rec-1022-dup-2,26
rec-1022-dup-3,26
rec-1022-dup-4,26
rec-1022-org,26
rec-1023-org,27
rec-1024-org,28
rec-1025-org,29
rec-1026-dup-0,30
rec-1026-dup-1,31
rec-1026-org,31
rec-1027-org,32
rec-1028-dup-0,33
rec-1028-dup-1,33
rec-1028-org,33
rec-1029-dup-0,34
rec-1029-dup-1,34
rec-1029-dup-2,34
rec-1029-dup-3,34
rec-1029-dup-4,34
rec-1029-org,34
rec-102-dup-0,25
rec-102-dup-1,25
rec-102-dup-2,25
rec-102-dup-3,25
rec-102-org,25
rec-1030-org,26
rec-1031-org,27
rec-1032-dup-0,28
rec-1032-org,28
rec-1033-dup-0,29
rec-1033-org,29
rec-1034-dup-0,30
rec-1034-dup-1,30
rec-1034-dup-2,30
rec-1034-org,30
rec-1035-dup-0,31
rec-1035-dup-1,31
rec-1035-dup-2,31
rec-1035-dup-3,31
rec-1035-org,31
rec-1036-dup-0,32
rec-1036-dup-1,32
rec-1036-org,32
rec-1037-org,33
rec-1038-org,34
rec-1039-dup-0,35
rec-1039-org,35
rec-103-dup-0,36
rec-103-org,36
rec-1040-dup-0,37
rec-1040-dup-1,37
rec-1040-dup-2,37
rec-1040-org,37
rec-1041-dup-0,38
rec-1041-org,38
rec-1042-dup-0,38
rec-1042-dup-1,38
rec-1042-org,38
rec-1043-org,39
rec-1044-dup-0,40
rec-1044-dup-1,40
rec-1044-dup-2,40
rec-1044-dup-3,40
rec-1044-org,40
rec-1045-org,41
rec-1046-org,42
rec-1047-dup-0,43
rec-1047-dup-1,43
rec-1047-org,43
rec-1048-dup-0,44
rec-1048-dup-1,44
rec-1048-dup-2,44
rec-1048-org,44
rec-1049-org,45
rec-104-dup-0,46
rec-104-org,46
rec-1050-dup-0,47
rec-1050-dup-1,47
rec-1050-dup-2,47
rec-1050-dup-3,47
rec-1050-org,47
rec-1051-dup-0,48
rec-1051-org,48
rec-1052-dup-0,49
rec-1052-dup-1,49
rec-1052-org,49
rec-1053-org,50
rec-1054-dup-0,51
rec-1054-org,51
rec-1055-org,52
rec-1056-dup-0,53
rec-1056-dup-1,53
rec-1056-dup-2,53
rec-1056-dup-3,53
rec-1056-dup-4,53
rec-1056-org,53
rec-1057-dup-0,54
rec-1057-dup-1,54
rec-1057-dup-2,54
rec-1057-org,54
rec-1058-dup-0,55
rec-1058-dup-1,55
rec-1058-org,55
rec-1059-org,56
rec-105-dup-0,57
rec-105-dup-1,57
rec-105-dup-2,57
rec-105-dup-3,57
